,F-statistic,p-value
RC1B,1.6795008602208477,0.17824769189252065
RC2B,0.9480790396322473,0.4216321987416286
RC3B,2.8945635061573247,0.0404659339091832
RC4B,21.42767686542194,3.197152546914898e-10
RC5B,5.495420889264853,0.0017744219827093334
RC6B,4.013328530259366,0.010366122412393841
RC7B,4.773903253944059,0.00416247739406928
TotalB,6.6415351130312565,0.00047116899963327183
