,F-statistic,p-value
RC1A,1.8651935627390206,0.14237958294893394
RC2A,0.14516327760667297,0.9324876038541913
RC3A,1.1579922729216945,0.33122963542675077
RC4A,0.7561901293677022,0.5220834771888007
RC5A,4.33616805211066,0.0070262391889825155
RC6A,0.25750510140473526,0.8557676401661163
RC7A,0.7654916419137531,0.5168037270677549
TotalA,4.6990896446602015,0.004550638054940132
