"Outcome","Comparison","Diff_in_gain","lwr","upr","p_adj","Sig"
"Total","1-0",-0.632,-4.001,2.737,0.9606,""
"Total","4-0",0.214,-2.633,3.061,0.9972,""
"Total","8-0",2.214,-0.686,5.114,0.1951,""
"Total","4-1",0.846,-2.074,3.766,0.8718,""
"Total","8-1",2.846,-0.125,5.818,0.06545,""
"Total","8-4",2,-0.363,4.363,0.1262,""
"Survey Item 1","1-0",-0.478,-1.372,0.416,0.5012,""
"Survey Item 1","4-0",-0.303,-1.059,0.453,0.7192,""
"Survey Item 1","8-0",0.33,-0.44,1.099,0.6757,""
"Survey Item 1","4-1",0.175,-0.6,0.95,0.9339,""
"Survey Item 1","8-1",0.808,0.019,1.596,0.04269,"*"
"Survey Item 1","8-4",0.633,0.005,1.26,0.04722,"*"
"Survey Item 2","1-0",0.159,-0.68,0.999,0.9592,""
"Survey Item 2","4-0",0.101,-0.608,0.81,0.982,""
"Survey Item 2","8-0",0.352,-0.371,1.074,0.5794,""
"Survey Item 2","4-1",-0.058,-0.786,0.669,0.9967,""
"Survey Item 2","8-1",0.192,-0.548,0.932,0.9036,""
"Survey Item 2","8-4",0.251,-0.338,0.839,0.6794,""
"Survey Item 3","1-0",-0.165,-1.089,0.759,0.9658,""
"Survey Item 3","4-0",-0.236,-1.017,0.544,0.8565,""
"Survey Item 3","8-0",0.22,-0.576,1.015,0.8867,""
"Survey Item 3","4-1",-0.072,-0.872,0.729,0.9954,""
"Survey Item 3","8-1",0.385,-0.43,1.2,0.6043,""
"Survey Item 3","8-4",0.456,-0.192,1.104,0.259,""
"Survey Item 4","1-0",0.258,-0.789,1.305,0.9161,""
"Survey Item 4","4-0",0.677,-0.207,1.562,0.193,""
"Survey Item 4","8-0",1.066,0.165,1.967,0.0138,"*"
"Survey Item 4","4-1",0.419,-0.488,1.326,0.6206,""
"Survey Item 4","8-1",0.808,-0.116,1.731,0.1076,""
"Survey Item 4","8-4",0.389,-0.345,1.123,0.5095,""
"Survey Item 7","1-0",-0.407,-1.299,0.486,0.6314,""
"Survey Item 7","4-0",-0.025,-0.779,0.73,0.9998,""
"Survey Item 7","8-0",0.247,-0.521,1.016,0.8328,""
"Survey Item 7","4-1",0.382,-0.392,1.156,0.5681,""
"Survey Item 7","8-1",0.654,-0.133,1.441,0.1378,""
"Survey Item 7","8-4",0.272,-0.354,0.898,0.6659,""
